client,bank,true_context,source_context
0,A,clean,clean
0,B,clean,clean
0,A,brightness_dark,brightness_dark
0,B,brightness_dark,brightness_dark
0,A,contrast_low,contrast_low
0,B,contrast_low,contrast_low
0,A,gaussian_noise,gaussian_noise
0,B,gaussian_noise,gaussian_noise
0,A,gaussian_blur,gaussian_blur
0,B,gaussian_blur,gaussian_blur
1,A,clean,clean
1,B,clean,clean
1,A,brightness_dark,brightness_dark
1,B,brightness_dark,brightness_dark
1,A,contrast_low,contrast_low
1,B,contrast_low,contrast_low
1,A,gaussian_noise,gaussian_noise
1,B,gaussian_noise,gaussian_noise
1,A,gaussian_blur,gaussian_blur
1,B,gaussian_blur,gaussian_blur
2,A,clean,clean
2,B,clean,clean
2,A,brightness_dark,brightness_dark
2,B,brightness_dark,brightness_dark
2,A,contrast_low,contrast_low
2,B,contrast_low,contrast_low
2,A,gaussian_noise,gaussian_noise
2,B,gaussian_noise,gaussian_noise
2,A,gaussian_blur,gaussian_blur
2,B,gaussian_blur,gaussian_blur
3,A,clean,clean
3,B,clean,clean
3,A,brightness_dark,brightness_dark
3,B,brightness_dark,brightness_dark
3,A,contrast_low,contrast_low
3,B,contrast_low,contrast_low
3,A,gaussian_noise,gaussian_noise
3,B,gaussian_noise,gaussian_noise
3,A,gaussian_blur,gaussian_blur
3,B,gaussian_blur,gaussian_blur
4,A,clean,clean
4,B,clean,clean
4,A,brightness_dark,brightness_dark
4,B,brightness_dark,brightness_dark
4,A,contrast_low,contrast_low
4,B,contrast_low,contrast_low
4,A,gaussian_noise,gaussian_noise
4,B,gaussian_noise,gaussian_noise
4,A,gaussian_blur,gaussian_blur
4,B,gaussian_blur,gaussian_blur
5,A,clean,clean
5,B,clean,clean
5,A,brightness_dark,brightness_dark
5,B,brightness_dark,brightness_dark
5,A,contrast_low,contrast_low
5,B,contrast_low,contrast_low
5,A,gaussian_noise,gaussian_noise
5,B,gaussian_noise,gaussian_noise
5,A,gaussian_blur,gaussian_blur
5,B,gaussian_blur,gaussian_blur
6,A,clean,clean
