bank,context,family,matrices,count_min,count_median,rank_min,rank_median,rank_max,full_rank_fraction,condition_min,condition_median,condition_max
A,clean,H,100,1041,1500.0,9,9.0,9,0.0,inf,inf,inf
A,clean,S,100,143,188.0,10,10.0,10,1.0,72.67627229182492,74.86561068216832,80.63577755992621
A,brightness_dark,H,100,1041,1500.0,9,9.0,9,0.0,inf,inf,inf
A,brightness_dark,S,100,143,188.0,10,10.0,10,1.0,186.94586426624102,196.4991364424138,205.96622894110854
A,contrast_low,H,100,1041,1500.0,8,8.0,8,0.0,inf,inf,inf
A,contrast_low,S,100,143,188.0,10,10.0,10,1.0,163.51118673206318,167.83348059762085,181.22895460571792
A,gaussian_noise,H,100,1041,1500.0,9,9.0,9,0.0,inf,inf,inf
A,gaussian_noise,S,100,143,188.0,10,10.0,10,1.0,79.19188020196341,83.41359810877063,89.85223071229547
A,gaussian_blur,H,100,1041,1500.0,9,9.0,9,0.0,inf,inf,inf
A,gaussian_blur,S,100,143,188.0,10,10.0,10,1.0,76.77742268163466,77.63067877319726,85.51220888161463
B,clean,H,100,1041,1500.0,9,9.0,9,0.0,inf,inf,inf
B,clean,S,100,143,188.0,10,10.0,10,1.0,72.67627229182492,74.86561068216832,80.63577755992621
B,brightness_dark,H,100,1041,1500.0,9,9.0,9,0.0,inf,inf,inf
B,brightness_dark,S,100,143,188.0,10,10.0,10,1.0,190.1247972601968,199.82320363319144,209.6902989680492
B,contrast_low,H,100,1041,1500.0,8,8.0,8,0.0,inf,inf,inf
B,contrast_low,S,100,143,188.0,10,10.0,10,1.0,176.88959601720322,184.8374632644041,194.5789576096413
B,gaussian_noise,H,100,1041,1500.0,9,9.0,9,0.0,inf,inf,inf
B,gaussian_noise,S,100,143,188.0,10,10.0,10,1.0,81.10392438396713,86.47289270963323,93.35780681179845
B,gaussian_blur,H,100,1041,1500.0,9,9.0,9,0.0,inf,inf,inf
B,gaussian_blur,S,100,143,188.0,10,10.0,10,1.0,77.92814884994144,79.19463555571701,87.63205328956374
