salt,bank,client,target,source_context,entropy,max_class_fraction,macroclass_contribution_P11_minus_P00,P11_states,P00_states
T013-S0,B,29,gaussian_blur,clean,-0.0,1.0,-1.2575250836120402,clean|clean,contrast_low|contrast_low
T013-S1,B,29,gaussian_blur,clean,-0.0,1.0,-1.2575250836120402,clean|clean,contrast_low|contrast_low
T013-S2,B,29,gaussian_blur,clean,-0.0,1.0,-1.2575250836120402,clean|clean,contrast_low|contrast_low
T013-S3,B,29,gaussian_blur,clean,-0.0,1.0,-1.2575250836120402,clean|clean,contrast_low|contrast_low
T013-S0,A,29,gaussian_blur,clean,-0.0,1.0,-1.2173913043478262,clean|clean,contrast_low|contrast_low
T013-S1,A,29,gaussian_blur,clean,-0.0,1.0,-1.2173913043478262,clean|clean,contrast_low|contrast_low
T013-S2,A,29,gaussian_blur,clean,-0.0,1.0,-1.2173913043478262,clean|clean,contrast_low|contrast_low
T013-S3,A,29,gaussian_blur,clean,-0.0,1.0,-1.2173913043478262,clean|clean,contrast_low|contrast_low
T013-S0,B,94,gaussian_noise,gaussian_noise,0.08621407475879368,0.95,-0.726711259754738,gaussian_noise|gaussian_noise,brightness_dark|brightness_dark
T013-S1,B,94,gaussian_noise,gaussian_noise,0.08621407475879368,0.95,-0.726711259754738,gaussian_noise|gaussian_noise,brightness_dark|brightness_dark
T013-S2,B,94,gaussian_noise,gaussian_noise,0.08621407475879368,0.95,-0.726711259754738,gaussian_noise|gaussian_noise,brightness_dark|brightness_dark
T013-S3,B,94,gaussian_noise,gaussian_noise,0.08621407475879368,0.95,-0.726711259754738,gaussian_noise|gaussian_noise,brightness_dark|brightness_dark
T013-S0,A,94,gaussian_noise,gaussian_noise,0.08621407475879368,0.95,-0.7133779264214046,gaussian_noise|gaussian_noise,brightness_dark|brightness_dark
T013-S1,A,94,gaussian_noise,gaussian_noise,0.08621407475879368,0.95,-0.7133779264214046,gaussian_noise|gaussian_noise,brightness_dark|brightness_dark
T013-S2,A,94,gaussian_noise,gaussian_noise,0.08621407475879368,0.95,-0.7133779264214046,gaussian_noise|gaussian_noise,brightness_dark|brightness_dark
T013-S3,A,94,gaussian_noise,gaussian_noise,0.08621407475879368,0.95,-0.7133779264214046,gaussian_noise|gaussian_noise,brightness_dark|brightness_dark
T013-S1,B,94,clean,clean,0.08621407475879368,0.95,-0.6398216276477146,clean|clean,brightness_dark|brightness_dark
T013-S2,B,94,clean,clean,0.08621407475879368,0.95,-0.6398216276477146,clean|clean,brightness_dark|brightness_dark
T013-S0,B,94,gaussian_blur,gaussian_blur,0.08621407475879368,0.95,-0.6262478639866487,gaussian_blur|gaussian_blur,brightness_dark|brightness_dark
T013-S1,B,94,gaussian_blur,gaussian_blur,0.08621407475879368,0.95,-0.6262478639866487,gaussian_blur|gaussian_blur,brightness_dark|brightness_dark
T013-S2,B,94,gaussian_blur,gaussian_blur,0.08621407475879368,0.95,-0.6262478639866487,gaussian_blur|gaussian_blur,brightness_dark|brightness_dark
