client,bank,context,salt,train_half,point_state,BER128,BER256,agreement
0,A,clean,T013-S0,0,1,1,1,True
0,A,clean,T013-S0,1,4,4,4,True
0,A,clean,T013-S1,0,1,1,1,True
0,A,clean,T013-S1,1,4,4,4,True
0,A,clean,T013-S2,0,1,1,1,True
0,A,clean,T013-S2,1,4,4,4,True
0,A,clean,T013-S3,0,4,4,4,True
0,A,clean,T013-S3,1,1,1,1,True
0,A,brightness_dark,T013-S0,0,1,1,1,True
0,A,brightness_dark,T013-S0,1,1,1,1,True
0,A,brightness_dark,T013-S1,0,1,1,1,True
0,A,brightness_dark,T013-S1,1,1,1,1,True
0,A,brightness_dark,T013-S2,0,1,1,1,True
0,A,brightness_dark,T013-S2,1,1,1,1,True
0,A,brightness_dark,T013-S3,0,1,1,1,True
0,A,brightness_dark,T013-S3,1,1,1,1,True
0,A,contrast_low,T013-S0,0,2,2,2,True
0,A,contrast_low,T013-S0,1,2,2,2,True
0,A,contrast_low,T013-S1,0,2,2,2,True
0,A,contrast_low,T013-S1,1,2,2,2,True
0,A,contrast_low,T013-S2,0,2,2,2,True
0,A,contrast_low,T013-S2,1,2,2,2,True
0,A,contrast_low,T013-S3,0,2,2,2,True
0,A,contrast_low,T013-S3,1,2,2,2,True
0,A,gaussian_noise,T013-S0,0,1,3,3,True
0,A,gaussian_noise,T013-S0,1,1,0,0,True
0,A,gaussian_noise,T013-S1,0,1,1,1,True
0,A,gaussian_noise,T013-S1,1,1,0,0,True
0,A,gaussian_noise,T013-S2,0,1,0,0,True
0,A,gaussian_noise,T013-S2,1,1,3,3,True
0,A,gaussian_noise,T013-S3,0,1,3,3,True
0,A,gaussian_noise,T013-S3,1,1,0,0,True
0,A,gaussian_blur,T013-S0,0,2,4,4,True
0,A,gaussian_blur,T013-S0,1,4,4,4,True
0,A,gaussian_blur,T013-S1,0,4,4,4,True
0,A,gaussian_blur,T013-S1,1,2,4,4,True
0,A,gaussian_blur,T013-S2,0,4,4,4,True
0,A,gaussian_blur,T013-S2,1,2,4,4,True
0,A,gaussian_blur,T013-S3,0,2,4,4,True
0,A,gaussian_blur,T013-S3,1,4,4,4,True
0,B,clean,T013-S0,0,1,1,1,True
0,B,clean,T013-S0,1,4,4,4,True
0,B,clean,T013-S1,0,1,1,1,True
0,B,clean,T013-S1,1,4,4,4,True
0,B,clean,T013-S2,0,1,1,1,True
0,B,clean,T013-S2,1,4,4,4,True
0,B,clean,T013-S3,0,4,4,4,True
0,B,clean,T013-S3,1,1,1,1,True
0,B,brightness_dark,T013-S0,0,1,1,1,True
0,B,brightness_dark,T013-S0,1,1,1,1,True
0,B,brightness_dark,T013-S1,0,1,1,1,True
0,B,brightness_dark,T013-S1,1,1,1,1,True
0,B,brightness_dark,T013-S2,0,1,1,1,True
0,B,brightness_dark,T013-S2,1,1,1,1,True
0,B,brightness_dark,T013-S3,0,1,1,1,True
0,B,brightness_dark,T013-S3,1,1,1,1,True
0,B,contrast_low,T013-S0,0,2,2,2,True
0,B,contrast_low,T013-S0,1,2,2,2,True
0,B,contrast_low,T013-S1,0,2,2,2,True
0,B,contrast_low,T013-S1,1,2,2,2,True
0,B,contrast_low,T013-S2,0,2,2,2,True
0,B,contrast_low,T013-S2,1,2,2,2,True
0,B,contrast_low,T013-S3,0,2,2,2,True
0,B,contrast_low,T013-S3,1,2,2,2,True
0,B,gaussian_noise,T013-S0,0,1,3,3,True
0,B,gaussian_noise,T013-S0,1,1,3,3,True
0,B,gaussian_noise,T013-S1,0,1,1,3,False
0,B,gaussian_noise,T013-S1,1,1,0,0,True
0,B,gaussian_noise,T013-S2,0,1,0,0,True
0,B,gaussian_noise,T013-S2,1,1,3,3,True
0,B,gaussian_noise,T013-S3,0,1,3,3,True
0,B,gaussian_noise,T013-S3,1,1,0,0,True
0,B,gaussian_blur,T013-S0,0,2,4,4,True
0,B,gaussian_blur,T013-S0,1,4,4,4,True
0,B,gaussian_blur,T013-S1,0,4,4,4,True
0,B,gaussian_blur,T013-S1,1,2,2,2,True
0,B,gaussian_blur,T013-S2,0,4,4,4,True
0,B,gaussian_blur,T013-S2,1,2,4,4,True
