pool,target,context,class,n_query,correct,accuracy
A,brightness_dark,none,0,297,0,0.0
A,brightness_dark,none,1,31,6,19.35483870967742
A,brightness_dark,none,2,46,40,86.95652173913044
A,brightness_dark,none,3,12,0,0.0
A,brightness_dark,none,4,3,0,0.0
A,brightness_dark,none,5,73,0,0.0
A,brightness_dark,none,6,9,6,66.66666666666667
A,brightness_dark,none,7,231,0,0.0
A,brightness_dark,none,8,2,0,0.0
A,brightness_dark,none,9,192,0,0.0
A,brightness_dark,clean_identity,0,297,0,0.0
A,brightness_dark,clean_identity,1,31,6,19.35483870967742
A,brightness_dark,clean_identity,2,46,40,86.95652173913044
A,brightness_dark,clean_identity,3,12,0,0.0
A,brightness_dark,clean_identity,4,3,0,0.0
A,brightness_dark,clean_identity,5,73,0,0.0
A,brightness_dark,clean_identity,6,9,6,66.66666666666667
A,brightness_dark,clean_identity,7,231,0,0.0
A,brightness_dark,clean_identity,8,2,0,0.0
A,brightness_dark,clean_identity,9,192,0,0.0
A,brightness_dark,correct_pair,0,297,53,17.845117845117844
A,brightness_dark,correct_pair,1,31,28,90.3225806451613
A,brightness_dark,correct_pair,2,46,24,52.17391304347826
A,brightness_dark,correct_pair,3,12,2,16.666666666666668
A,brightness_dark,correct_pair,4,3,0,0.0
A,brightness_dark,correct_pair,5,73,2,2.73972602739726
A,brightness_dark,correct_pair,6,9,6,66.66666666666667
A,brightness_dark,correct_pair,7,231,36,15.584415584415584
A,brightness_dark,correct_pair,8,2,1,50.0
A,brightness_dark,correct_pair,9,192,0,0.0
A,brightness_dark,same_class_derangement,0,297,0,0.0
A,brightness_dark,same_class_derangement,1,31,31,100.0
A,brightness_dark,same_class_derangement,2,46,3,6.521739130434782
A,brightness_dark,same_class_derangement,3,12,0,0.0
A,brightness_dark,same_class_derangement,4,3,0,0.0
A,brightness_dark,same_class_derangement,5,73,0,0.0
A,brightness_dark,same_class_derangement,6,9,3,33.333333333333336
A,brightness_dark,same_class_derangement,7,231,0,0.0
A,brightness_dark,same_class_derangement,8,2,0,0.0
A,brightness_dark,same_class_derangement,9,192,0,0.0
A,brightness_dark,cross_class_derangement,0,297,0,0.0
A,brightness_dark,cross_class_derangement,1,31,30,96.7741935483871
A,brightness_dark,cross_class_derangement,2,46,15,32.608695652173914
A,brightness_dark,cross_class_derangement,3,12,0,0.0
A,brightness_dark,cross_class_derangement,4,3,0,0.0
A,brightness_dark,cross_class_derangement,5,73,0,0.0
A,brightness_dark,cross_class_derangement,6,9,4,44.44444444444444
A,brightness_dark,cross_class_derangement,7,231,0,0.0
A,brightness_dark,cross_class_derangement,8,2,0,0.0
A,brightness_dark,cross_class_derangement,9,192,0,0.0
A,brightness_dark,wrong_alt_source,0,297,0,0.0
A,brightness_dark,wrong_alt_source,1,31,2,6.451612903225806
A,brightness_dark,wrong_alt_source,2,46,41,89.1304347826087
A,brightness_dark,wrong_alt_source,3,12,0,0.0
A,brightness_dark,wrong_alt_source,4,3,0,0.0
A,brightness_dark,wrong_alt_source,5,73,0,0.0
A,brightness_dark,wrong_alt_source,6,9,3,33.333333333333336
A,brightness_dark,wrong_alt_source,7,231,0,0.0
A,brightness_dark,wrong_alt_source,8,2,0,0.0
A,brightness_dark,wrong_alt_source,9,192,0,0.0
A,brightness_dark,noise_source,0,297,0,0.0
A,brightness_dark,noise_source,1,31,23,74.19354838709677
A,brightness_dark,noise_source,2,46,34,73.91304347826087
A,brightness_dark,noise_source,3,12,0,0.0
A,brightness_dark,noise_source,4,3,0,0.0
A,brightness_dark,noise_source,5,73,0,0.0
A,brightness_dark,noise_source,6,9,0,0.0
A,brightness_dark,noise_source,7,231,0,0.0
A,brightness_dark,noise_source,8,2,0,0.0
A,brightness_dark,noise_source,9,192,0,0.0
A,contrast_low,none,0,297,21,7.070707070707071
A,contrast_low,none,1,31,4,12.903225806451612
A,contrast_low,none,2,46,26,56.52173913043478
A,contrast_low,none,3,12,0,0.0
A,contrast_low,none,4,3,0,0.0
A,contrast_low,none,5,73,2,2.73972602739726
A,contrast_low,none,6,9,6,66.66666666666667
A,contrast_low,none,7,231,0,0.0
A,contrast_low,none,8,2,0,0.0
A,contrast_low,none,9,192,0,0.0
A,contrast_low,clean_identity,0,297,21,7.070707070707071
A,contrast_low,clean_identity,1,31,4,12.903225806451612
A,contrast_low,clean_identity,2,46,26,56.52173913043478
A,contrast_low,clean_identity,3,12,0,0.0
A,contrast_low,clean_identity,4,3,0,0.0
A,contrast_low,clean_identity,5,73,2,2.73972602739726
A,contrast_low,clean_identity,6,9,6,66.66666666666667
A,contrast_low,clean_identity,7,231,0,0.0
A,contrast_low,clean_identity,8,2,0,0.0
A,contrast_low,clean_identity,9,192,0,0.0
A,contrast_low,correct_pair,0,297,41,13.804713804713804
A,contrast_low,correct_pair,1,31,27,87.09677419354838
A,contrast_low,correct_pair,2,46,17,36.95652173913044
A,contrast_low,correct_pair,3,12,1,8.333333333333334
A,contrast_low,correct_pair,4,3,0,0.0
A,contrast_low,correct_pair,5,73,5,6.8493150684931505
A,contrast_low,correct_pair,6,9,6,66.66666666666667
A,contrast_low,correct_pair,7,231,5,2.1645021645021645
A,contrast_low,correct_pair,8,2,2,100.0
A,contrast_low,correct_pair,9,192,0,0.0
A,contrast_low,same_class_derangement,0,297,0,0.0
A,contrast_low,same_class_derangement,1,31,31,100.0
A,contrast_low,same_class_derangement,2,46,1,2.1739130434782608
A,contrast_low,same_class_derangement,3,12,0,0.0
A,contrast_low,same_class_derangement,4,3,0,0.0
A,contrast_low,same_class_derangement,5,73,0,0.0
A,contrast_low,same_class_derangement,6,9,3,33.333333333333336
A,contrast_low,same_class_derangement,7,231,0,0.0
A,contrast_low,same_class_derangement,8,2,0,0.0
A,contrast_low,same_class_derangement,9,192,0,0.0
A,contrast_low,cross_class_derangement,0,297,0,0.0
A,contrast_low,cross_class_derangement,1,31,30,96.7741935483871
A,contrast_low,cross_class_derangement,2,46,12,26.08695652173913
A,contrast_low,cross_class_derangement,3,12,0,0.0
A,contrast_low,cross_class_derangement,4,3,0,0.0
A,contrast_low,cross_class_derangement,5,73,0,0.0
A,contrast_low,cross_class_derangement,6,9,4,44.44444444444444
A,contrast_low,cross_class_derangement,7,231,0,0.0
A,contrast_low,cross_class_derangement,8,2,0,0.0
A,contrast_low,cross_class_derangement,9,192,0,0.0
A,contrast_low,wrong_alt_source,0,297,18,6.0606060606060606
A,contrast_low,wrong_alt_source,1,31,13,41.935483870967744
A,contrast_low,wrong_alt_source,2,46,19,41.30434782608695
A,contrast_low,wrong_alt_source,3,12,0,0.0
A,contrast_low,wrong_alt_source,4,3,0,0.0
A,contrast_low,wrong_alt_source,5,73,2,2.73972602739726
A,contrast_low,wrong_alt_source,6,9,7,77.77777777777777
A,contrast_low,wrong_alt_source,7,231,0,0.0
A,contrast_low,wrong_alt_source,8,2,0,0.0
A,contrast_low,wrong_alt_source,9,192,0,0.0
A,contrast_low,noise_source,0,297,0,0.0
A,contrast_low,noise_source,1,31,31,100.0
A,contrast_low,noise_source,2,46,1,2.1739130434782608
A,contrast_low,noise_source,3,12,0,0.0
A,contrast_low,noise_source,4,3,0,0.0
A,contrast_low,noise_source,5,73,0,0.0
A,contrast_low,noise_source,6,9,0,0.0
A,contrast_low,noise_source,7,231,0,0.0
A,contrast_low,noise_source,8,2,0,0.0
A,contrast_low,noise_source,9,192,0,0.0
A,gaussian_noise,none,0,297,36,12.121212121212121
A,gaussian_noise,none,1,31,29,93.54838709677419
A,gaussian_noise,none,2,46,15,32.608695652173914
A,gaussian_noise,none,3,12,1,8.333333333333334
A,gaussian_noise,none,4,3,0,0.0
A,gaussian_noise,none,5,73,6,8.219178082191782
A,gaussian_noise,none,6,9,7,77.77777777777777
A,gaussian_noise,none,7,231,20,8.658008658008658
A,gaussian_noise,none,8,2,2,100.0
A,gaussian_noise,none,9,192,0,0.0
A,gaussian_noise,clean_identity,0,297,36,12.121212121212121
A,gaussian_noise,clean_identity,1,31,29,93.54838709677419
A,gaussian_noise,clean_identity,2,46,15,32.608695652173914
A,gaussian_noise,clean_identity,3,12,1,8.333333333333334
A,gaussian_noise,clean_identity,4,3,0,0.0
A,gaussian_noise,clean_identity,5,73,6,8.219178082191782
