client,context,offset,n_support,n_query,same_label_fraction
0,low_semantic_derangement,11,64,178,0.515625
0,high_semantic_derangement,9,64,178,0.671875
0,random_derangement_0,3,64,178,0.578125
0,random_derangement_1,12,64,178,0.625
0,random_derangement_2,39,64,178,0.546875
0,random_derangement_3,11,64,178,0.515625
0,random_derangement_4,57,64,178,0.578125
0,random_derangement_5,46,64,178,0.59375
0,random_derangement_6,10,64,178,0.625
0,random_derangement_7,27,64,178,0.640625
0,correct_pair,0,64,178,1.0
0,t005_original,49,64,178,0.609375
1,low_semantic_derangement,1,64,99,0.8125
1,high_semantic_derangement,11,64,99,0.859375
1,random_derangement_0,36,64,99,0.828125
1,random_derangement_1,32,64,99,0.8125
1,random_derangement_2,3,64,99,0.8125
1,random_derangement_3,10,64,99,0.8125
1,random_derangement_4,40,64,99,0.828125
1,random_derangement_5,44,64,99,0.84375
1,random_derangement_6,39,64,99,0.828125
1,random_derangement_7,37,64,99,0.8125
1,correct_pair,0,64,99,1.0
1,t005_original,28,64,99,0.828125
2,low_semantic_derangement,1,64,140,0.90625
2,high_semantic_derangement,26,64,140,0.9375
2,random_derangement_0,56,64,140,0.921875
2,random_derangement_1,17,64,140,0.90625
2,random_derangement_2,9,64,140,0.90625
2,random_derangement_3,59,64,140,0.90625
2,random_derangement_4,25,64,140,0.90625
2,random_derangement_5,43,64,140,0.90625
2,random_derangement_6,57,64,140,0.90625
2,random_derangement_7,42,64,140,0.90625
2,correct_pair,0,64,140,1.0
2,t005_original,27,64,140,0.90625
3,low_semantic_derangement,1,64,216,1.0
3,high_semantic_derangement,1,64,216,1.0
3,random_derangement_0,42,64,216,1.0
3,random_derangement_1,3,64,216,1.0
3,random_derangement_2,35,64,216,1.0
3,random_derangement_3,12,64,216,1.0
3,random_derangement_4,55,64,216,1.0
3,random_derangement_5,20,64,216,1.0
3,random_derangement_6,47,64,216,1.0
3,random_derangement_7,59,64,216,1.0
3,correct_pair,0,64,216,1.0
3,t005_original,11,64,216,1.0
4,low_semantic_derangement,21,64,105,0.34375
4,high_semantic_derangement,7,64,105,0.5625
4,random_derangement_0,54,64,105,0.375
4,random_derangement_1,26,64,105,0.515625
4,random_derangement_2,21,64,105,0.34375
4,random_derangement_3,44,64,105,0.4375
4,random_derangement_4,7,64,105,0.5625
4,random_derangement_5,57,64,105,0.5625
4,random_derangement_6,42,64,105,0.421875
4,random_derangement_7,56,64,105,0.546875
4,correct_pair,0,64,105,1.0
4,t005_original,55,64,105,0.46875
5,low_semantic_derangement,28,64,158,0.265625
5,high_semantic_derangement,32,64,158,0.46875
5,random_derangement_0,54,64,158,0.359375
5,random_derangement_1,1,64,158,0.34375
5,random_derangement_2,31,64,158,0.328125
5,random_derangement_3,22,64,158,0.421875
5,random_derangement_4,23,64,158,0.34375
5,random_derangement_5,32,64,158,0.46875
5,random_derangement_6,11,64,158,0.34375
5,random_derangement_7,51,64,158,0.328125
5,correct_pair,0,64,158,1.0
5,t005_original,35,64,158,0.34375
6,low_semantic_derangement,4,64,261,0.375
6,high_semantic_derangement,12,64,261,0.625
6,random_derangement_0,60,64,261,0.375
6,random_derangement_1,40,64,261,0.5
6,random_derangement_2,21,64,261,0.46875
6,random_derangement_3,52,64,261,0.625
6,random_derangement_4,15,64,261,0.5625
6,random_derangement_5,4,64,261,0.375
6,random_derangement_6,37,64,261,0.5625
6,random_derangement_7,6,64,261,0.375
6,correct_pair,0,64,261,1.0
6,t005_original,14,64,261,0.46875
