salt,bank,policy,delta_pp,passed
T013-S0,A,BBSE-H-01,4.530629930059622,True
T013-S0,B,BBSE-H-01,4.293473654918928,True
T013-S1,A,BBSE-H-01,4.517292022258366,True
T013-S1,B,BBSE-H-01,4.360613387512602,True
T013-S2,A,BBSE-H-01,4.624854598095746,True
T013-S2,B,BBSE-H-01,4.334148752446087,True
T013-S3,A,BBSE-H-01,4.5238561683636185,True
T013-S3,B,BBSE-H-01,4.459508301876678,True
T013-S0,A,BBSE-H-11,4.180269273638643,True
T013-S0,B,BBSE-H-11,3.6767971542054854,True
T013-S1,A,BBSE-H-11,4.213120895327116,True
T013-S1,B,BBSE-H-11,3.74393688679916,True
T013-S2,A,BBSE-H-11,4.294175850223476,True
T013-S2,B,BBSE-H-11,3.717472251732644,True
T013-S3,A,BBSE-H-11,4.12024170147213,True
T013-S3,B,BBSE-H-11,3.8428318011632356,True
T013-S0,A,BBSE-S-01,4.376076520631633,True
T013-S0,B,BBSE-S-01,4.151136606012545,True
T013-S1,A,BBSE-S-01,4.162567261960032,True
T013-S1,B,BBSE-S-01,3.9976696863980767,True
T013-S2,A,BBSE-S-01,4.236998683937732,True
T013-S2,B,BBSE-S-01,4.238043967748504,True
T013-S3,A,BBSE-S-01,4.210356772310389,True
T013-S3,B,BBSE-S-01,4.191862118675803,True
T013-S0,A,BBSE-S-11,3.9991565438434717,True
T013-S0,B,BBSE-S-11,3.707866788735089,True
T013-S1,A,BBSE-S-11,3.8387460651461804,True
T013-S1,B,BBSE-S-11,3.527927994381566,True
T013-S2,A,BBSE-S-11,3.933284725729779,True
T013-S2,B,BBSE-S-11,3.7350484652614826,True
T013-S3,A,BBSE-S-11,3.8798331626279046,True
T013-S3,B,BBSE-S-11,3.742005157594504,True
