pool,target,context,class,n_query,correct,accuracy
A,brightness_dark,none,0,1516,3,0.19788918205804748
A,brightness_dark,none,1,1495,319,21.337792642140467
A,brightness_dark,none,2,1509,1282,84.95692511597085
A,brightness_dark,none,3,1482,37,2.496626180836707
A,brightness_dark,none,4,1492,0,0.0
A,brightness_dark,none,5,1500,0,0.0
A,brightness_dark,none,6,1527,831,54.420432220039295
A,brightness_dark,none,7,1508,0,0.0
A,brightness_dark,none,8,1502,181,12.050599201065246
A,brightness_dark,none,9,1508,0,0.0
A,brightness_dark,clean_identity,0,1516,3,0.19788918205804748
A,brightness_dark,clean_identity,1,1495,319,21.337792642140467
A,brightness_dark,clean_identity,2,1509,1282,84.95692511597085
A,brightness_dark,clean_identity,3,1482,37,2.496626180836707
A,brightness_dark,clean_identity,4,1492,0,0.0
A,brightness_dark,clean_identity,5,1500,0,0.0
A,brightness_dark,clean_identity,6,1527,831,54.420432220039295
A,brightness_dark,clean_identity,7,1508,0,0.0
A,brightness_dark,clean_identity,8,1502,181,12.050599201065246
A,brightness_dark,clean_identity,9,1508,0,0.0
A,brightness_dark,correct_pair,0,1516,259,17.0844327176781
A,brightness_dark,correct_pair,1,1495,1203,80.46822742474916
A,brightness_dark,correct_pair,2,1509,811,53.744201457919154
A,brightness_dark,correct_pair,3,1482,234,15.789473684210526
A,brightness_dark,correct_pair,4,1492,3,0.20107238605898123
A,brightness_dark,correct_pair,5,1500,79,5.266666666666667
A,brightness_dark,correct_pair,6,1527,1095,71.70923379174853
A,brightness_dark,correct_pair,7,1508,225,14.920424403183024
A,brightness_dark,correct_pair,8,1502,958,63.78162450066578
A,brightness_dark,correct_pair,9,1508,0,0.0
A,brightness_dark,same_class_derangement,0,1516,0,0.0
A,brightness_dark,same_class_derangement,1,1495,1445,96.65551839464882
A,brightness_dark,same_class_derangement,2,1509,219,14.512922465208748
A,brightness_dark,same_class_derangement,3,1482,0,0.0
A,brightness_dark,same_class_derangement,4,1492,0,0.0
A,brightness_dark,same_class_derangement,5,1500,0,0.0
A,brightness_dark,same_class_derangement,6,1527,521,34.11918795022921
A,brightness_dark,same_class_derangement,7,1508,0,0.0
A,brightness_dark,same_class_derangement,8,1502,0,0.0
A,brightness_dark,same_class_derangement,9,1508,0,0.0
A,brightness_dark,cross_class_derangement,0,1516,0,0.0
A,brightness_dark,cross_class_derangement,1,1495,1458,97.52508361204013
A,brightness_dark,cross_class_derangement,2,1509,463,30.68257123923128
A,brightness_dark,cross_class_derangement,3,1482,6,0.4048582995951417
A,brightness_dark,cross_class_derangement,4,1492,0,0.0
A,brightness_dark,cross_class_derangement,5,1500,0,0.0
A,brightness_dark,cross_class_derangement,6,1527,883,57.82580222658808
A,brightness_dark,cross_class_derangement,7,1508,0,0.0
A,brightness_dark,cross_class_derangement,8,1502,10,0.6657789613848203
A,brightness_dark,cross_class_derangement,9,1508,0,0.0
A,brightness_dark,wrong_alt_source,0,1516,2,0.13192612137203166
A,brightness_dark,wrong_alt_source,1,1495,140,9.364548494983278
A,brightness_dark,wrong_alt_source,2,1509,1391,92.18025182239894
A,brightness_dark,wrong_alt_source,3,1482,27,1.8218623481781377
A,brightness_dark,wrong_alt_source,4,1492,0,0.0
A,brightness_dark,wrong_alt_source,5,1500,0,0.0
A,brightness_dark,wrong_alt_source,6,1527,549,35.952848722986246
A,brightness_dark,wrong_alt_source,7,1508,0,0.0
A,brightness_dark,wrong_alt_source,8,1502,144,9.587217043941411
A,brightness_dark,wrong_alt_source,9,1508,0,0.0
A,brightness_dark,noise_source,0,1516,0,0.0
A,brightness_dark,noise_source,1,1495,995,66.5551839464883
A,brightness_dark,noise_source,2,1509,940,62.292909211398275
A,brightness_dark,noise_source,3,1482,0,0.0
A,brightness_dark,noise_source,4,1492,0,0.0
A,brightness_dark,noise_source,5,1500,0,0.0
A,brightness_dark,noise_source,6,1527,0,0.0
A,brightness_dark,noise_source,7,1508,0,0.0
A,brightness_dark,noise_source,8,1502,0,0.0
A,brightness_dark,noise_source,9,1508,0,0.0
A,contrast_low,none,0,1516,125,8.24538258575198
A,contrast_low,none,1,1495,89,5.953177257525083
