salt,bank,policy,delta_pp,passed
T013-S0,A,P00,6.126316080974129,True
T013-S0,A,P01,2.0493327679316335,True
T013-S0,A,P10,5.989519296016062,True
T013-S0,A,P11,1.2186968404004257,True
T013-S0,A,zero_soft,1.3969396592669512,True
T013-S0,A,zero_hard,1.5673966151481604,True
T013-S0,A,uniform,0.18229630583417034,True
T013-S0,B,P00,6.168043218857249,True
T013-S0,B,P01,1.8633501235770789,True
T013-S0,B,P10,5.985097665791255,True
T013-S0,B,P11,0.9602007918047876,True
T013-S0,B,zero_soft,1.1448004194212336,True
T013-S0,B,zero_hard,1.3354086549193525,True
T013-S0,B,uniform,0.063328354705481,True
T013-S1,A,P00,6.158686063864175,True
T013-S1,A,P01,2.181846956460232,True
T013-S1,A,P10,6.028636917232693,True
T013-S1,A,P11,1.3247034079880036,True
T013-S1,A,zero_soft,1.4972246051813969,True
T013-S1,A,zero_hard,1.627779003709932,True
T013-S1,A,uniform,0.18229630583417034,True
T013-S1,B,P00,6.054855753081976,True
T013-S1,B,P01,1.9100550312473639,True
T013-S1,B,P10,5.8786126128846155,True
T013-S1,B,P11,1.0269056994750725,True
T013-S1,B,zero_soft,1.2976613329081954,True
T013-S1,B,zero_hard,1.375530988339433,True
T013-S1,B,uniform,0.063328354705481,True
T013-S2,A,P00,6.159543931460231,True
T013-S2,A,P01,2.0625304157938347,True
T013-S2,A,P10,6.022747146502164,True
T013-S2,A,P11,1.218680439223528,True
T013-S2,A,zero_soft,1.391201636416921,True
T013-S2,A,zero_hard,1.587582764671132,True
T013-S2,A,uniform,0.18229630583417034,True
T013-S2,B,P00,6.102566626381009,True
T013-S2,B,P01,1.8636259084609723,True
T013-S2,B,P10,5.926323486183648,True
T013-S2,B,P11,0.9472227662181708,True
T013-S2,B,zero_soft,1.1262953610134416,True
T013-S2,B,zero_hard,1.3889313306803925,True
T013-S2,B,uniform,0.063328354705481,True
T013-S3,A,P00,6.247356177162305,True
T013-S3,A,P01,2.1352873327181876,True
T013-S3,A,P10,6.110604617662191,True
T013-S3,A,P11,1.2980244999517245,True
T013-S3,A,zero_soft,1.4705456971451178,True
T013-S3,A,zero_hard,1.873918399511275,True
T013-S3,A,uniform,0.18229630583417034,True
T013-S3,B,P00,6.195131360402929,True
T013-S3,B,P01,1.869986943418461,True
T013-S3,B,P10,6.012185807336935,True
T013-S3,B,P11,1.0134247554500135,True
T013-S3,B,zero_soft,1.3232708870159129,True
T013-S3,B,zero_hard,1.70194400639938,True
T013-S3,B,uniform,0.063328354705481,True
