bank,context,salt,subset,n,correct,sample_weighted
A,clean,T013-S0,context_correct,13547,5182,38.25201151546468
A,clean,T013-S0,context_error,1492,648,43.43163538873995
A,clean,T013-S1,context_correct,13547,5182,38.25201151546468
A,clean,T013-S1,context_error,1492,646,43.297587131367294
A,clean,T013-S2,context_correct,13547,5184,38.2667749317192
A,clean,T013-S2,context_error,1492,661,44.3029490616622
A,clean,T013-S3,context_correct,13547,5159,38.082232228537684
A,clean,T013-S3,context_error,1492,634,42.493297587131366
A,brightness_dark,T013-S0,context_correct,15039,5072,33.72564665203804
A,brightness_dark,T013-S0,context_error,0,0,
A,brightness_dark,T013-S1,context_correct,15039,5078,33.76554292173682
A,brightness_dark,T013-S1,context_error,0,0,
A,brightness_dark,T013-S2,context_correct,15039,5053,33.599308464658556
A,brightness_dark,T013-S2,context_error,0,0,
A,brightness_dark,T013-S3,context_correct,15039,5087,33.82538732628499
A,brightness_dark,T013-S3,context_error,0,0,
A,contrast_low,T013-S0,context_correct,15039,4714,31.345169226677307
A,contrast_low,T013-S0,context_error,0,0,
A,contrast_low,T013-S1,context_correct,15039,4712,31.331870470111046
A,contrast_low,T013-S1,context_error,0,0,
A,contrast_low,T013-S2,context_correct,15039,4703,31.27202606556287
A,contrast_low,T013-S2,context_error,0,0,
A,contrast_low,T013-S3,context_correct,15039,4702,31.26537668727974
A,contrast_low,T013-S3,context_error,0,0,
A,gaussian_noise,T013-S0,context_correct,15039,5437,36.152669725380676
A,gaussian_noise,T013-S0,context_error,0,0,
A,gaussian_noise,T013-S1,context_correct,15039,5432,36.119422833965025
A,gaussian_noise,T013-S1,context_error,0,0,
A,gaussian_noise,T013-S2,context_correct,15039,5439,36.16596848194694
A,gaussian_noise,T013-S2,context_error,0,0,
A,gaussian_noise,T013-S3,context_correct,15039,5433,36.126072212248154
A,gaussian_noise,T013-S3,context_error,0,0,
A,gaussian_blur,T013-S0,context_correct,13973,5013,35.876332927789306
A,gaussian_blur,T013-S0,context_error,1066,438,41.088180112570356
A,gaussian_blur,T013-S1,context_correct,13973,5008,35.84054963143205
A,gaussian_blur,T013-S1,context_error,1066,438,41.088180112570356
A,gaussian_blur,T013-S2,context_correct,13973,5015,35.89064624633221
A,gaussian_blur,T013-S2,context_error,1066,491,46.06003752345216
A,gaussian_blur,T013-S3,context_correct,13973,5020,35.92642954268947
A,gaussian_blur,T013-S3,context_error,1066,487,45.684803001876176
B,clean,T013-S0,context_correct,13789,5161,37.42838494452099
B,clean,T013-S0,context_error,1250,621,49.68
B,clean,T013-S1,context_correct,13789,5152,37.363115526869244
B,clean,T013-S1,context_error,1250,621,49.68
B,clean,T013-S2,context_correct,13789,5159,37.413880629487274
B,clean,T013-S2,context_error,1250,621,49.68
B,clean,T013-S3,context_correct,13789,5148,37.3341068968018
B,clean,T013-S3,context_error,1250,621,49.68
B,brightness_dark,T013-S0,context_correct,15039,5093,33.865283595983776
B,brightness_dark,T013-S0,context_error,0,0,
B,brightness_dark,T013-S1,context_correct,15039,5090,33.84533546113438
B,brightness_dark,T013-S1,context_error,0,0,
B,brightness_dark,T013-S2,context_correct,15039,5093,33.865283595983776
B,brightness_dark,T013-S2,context_error,0,0,
B,brightness_dark,T013-S3,context_correct,15039,5095,33.87858235255003
B,brightness_dark,T013-S3,context_error,0,0,
B,contrast_low,T013-S0,context_correct,15039,4562,30.334463727641467
B,contrast_low,T013-S0,context_error,0,0,
B,contrast_low,T013-S1,context_correct,15039,4605,30.620386993816076
B,contrast_low,T013-S1,context_error,0,0,
B,contrast_low,T013-S2,context_correct,15039,4533,30.14163175743068
B,contrast_low,T013-S2,context_error,0,0,
B,contrast_low,T013-S3,context_correct,15039,4554,30.281268701376423
B,contrast_low,T013-S3,context_error,0,0,
B,gaussian_noise,T013-S0,context_correct,15039,5455,36.27235853447703
B,gaussian_noise,T013-S0,context_error,0,0,
B,gaussian_noise,T013-S1,context_correct,15039,5463,36.32555356074207
B,gaussian_noise,T013-S1,context_error,0,0,
B,gaussian_noise,T013-S2,context_correct,15039,5473,36.392047343573374
B,gaussian_noise,T013-S2,context_error,0,0,
B,gaussian_noise,T013-S3,context_correct,15039,5458,36.292306669326415
B,gaussian_noise,T013-S3,context_error,0,0,
B,gaussian_blur,T013-S0,context_correct,14257,5188,36.3891421757733
B,gaussian_blur,T013-S0,context_error,782,263,33.631713554987215
B,gaussian_blur,T013-S1,context_correct,14257,5189,36.396156274110965
B,gaussian_blur,T013-S1,context_error,782,279,35.67774936061381
B,gaussian_blur,T013-S2,context_correct,14257,5182,36.34705758574735
B,gaussian_blur,T013-S2,context_error,782,263,33.631713554987215
B,gaussian_blur,T013-S3,context_correct,14257,5195,36.438240864136915
B,gaussian_blur,T013-S3,context_error,782,263,33.631713554987215
