salt,bank,client,target,train_half,eval_half,policy,selected,predicted_argmax
T013-S0,A,0,clean,0,1,client_only,brightness_dark,"[""brightness_dark""]"
T013-S0,A,0,clean,0,1,context_only,clean,"[""clean"", ""brightness_dark"", ""contrast_low"", ""gaussian_noise"", ""gaussian_blur""]"
T013-S0,A,0,clean,0,1,two_factor,brightness_dark,"[""brightness_dark""]"
T013-S0,A,0,clean,0,1,mismatch_7,brightness_dark,"[""brightness_dark""]"
T013-S0,A,0,clean,0,1,mismatch_13,contrast_low,"[""contrast_low"", ""gaussian_blur""]"
T013-S0,A,0,clean,0,1,mismatch_23,gaussian_noise,"[""gaussian_noise""]"
T013-S0,A,0,clean,0,1,mismatch_37,gaussian_noise,"[""gaussian_noise""]"
T013-S0,A,0,clean,0,1,mismatch_41,brightness_dark,"[""brightness_dark""]"
T013-S0,A,0,clean,0,1,mismatch_53,gaussian_blur,"[""gaussian_blur""]"
T013-S0,A,0,clean,0,1,mismatch_71,brightness_dark,"[""brightness_dark"", ""gaussian_noise""]"
T013-S0,A,0,clean,0,1,mismatch_89,brightness_dark,"[""brightness_dark""]"
T013-S0,A,0,clean,0,1,zero,clean,"[""clean""]"
T013-S0,A,0,clean,0,1,true_state,clean,"[""clean""]"
T013-S0,A,0,clean,0,1,full_query_oracle,brightness_dark,"[""brightness_dark""]"
T013-S0,A,0,clean,0,1,half_oracle,brightness_dark,"[""brightness_dark""]"
T013-S0,A,0,brightness_dark,0,1,client_only,brightness_dark,"[""brightness_dark""]"
T013-S0,A,0,brightness_dark,0,1,context_only,brightness_dark,"[""brightness_dark""]"
T013-S0,A,0,brightness_dark,0,1,two_factor,brightness_dark,"[""brightness_dark""]"
T013-S0,A,0,brightness_dark,0,1,mismatch_7,brightness_dark,"[""brightness_dark""]"
T013-S0,A,0,brightness_dark,0,1,mismatch_13,contrast_low,"[""contrast_low""]"
T013-S0,A,0,brightness_dark,0,1,mismatch_23,brightness_dark,"[""brightness_dark""]"
T013-S0,A,0,brightness_dark,0,1,mismatch_37,brightness_dark,"[""brightness_dark""]"
T013-S0,A,0,brightness_dark,0,1,mismatch_41,brightness_dark,"[""brightness_dark""]"
T013-S0,A,0,brightness_dark,0,1,mismatch_53,brightness_dark,"[""brightness_dark""]"
