client,bank,context,iterations,updates,trace,converged,cap_hit,direct_KKT,sum_error,objective,initial_objective,active_classes,clipped_coordinates,L1_change,differs_from_BBSE,reference_KKT,reference_objective,prevalence_error,objective_error,old_PGD_cap,old_PGD_iterations,old_PGD_prevalence_error,reference_agreement
0,A,clean,2,2,"[{'active': [3, 7, 9], 'minimum': 0.1938204360876232, 'action': 'add', 'coordinate': 6}, {'active': [3, 6, 7, 9], 'minimum': 0.12294445455450559, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.048548664264973326, 'action': 'accept'}]",True,False,1.7943545954635098e-17,0.0,0.0002013599839589783,0.0025883625389112003,5,0,0.9438198221385115,True,1.7943545954635098e-17,0.0002013599839589783,0.0,0.0,False,13800,7.325943879310515e-10,True
0,A,brightness_dark,2,2,"[{'active': [3, 7, 9], 'minimum': 0.14197764007103003, 'action': 'add', 'coordinate': 6}, {'active': [3, 6, 7, 9], 'minimum': 0.10062257817057225, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.0644890738110947, 'action': 'accept'}]",True,False,2.2442984970449942e-17,0.0,0.0003009915643457778,0.0017776251014162499,5,0,0.39417175890777373,True,2.2442984970449942e-17,0.0003009915643457778,0.0,0.0,True,20000,9.713019001600376e-08,True
0,A,contrast_low,4,4,"[{'active': [6, 7, 9], 'minimum': 0.26817025598384303, 'action': 'add', 'coordinate': 1}, {'active': [1, 6, 7, 9], 'minimum': 0.09875908386589433, 'action': 'add', 'coordinate': 5}, {'active': [1, 5, 6, 7, 9], 'minimum': 0.10852207833150788, 'action': 'add', 'coordinate': 3}, {'active': [1, 3, 5, 6, 7, 9], 'minimum': -0.03220169180685853, 'action': 'remove', 'coordinate': 5}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.04068357285055146, 'action': 'accept'}]",True,False,4.185020385794047e-17,0.0,0.00026979829522233624,0.0017430803613375507,5,0,0.920549061249318,True,4.185020385794047e-17,0.00026979829522233624,0.0,0.0,True,20000,0.0021014827149848994,True
0,A,gaussian_noise,0,0,"[{'active': [3, 6, 7, 9], 'minimum': 0.03861302234612218, 'action': 'accept'}]",True,False,1.6506978076091805e-17,0.0,0.00012405872935599232,0.0036298420669190197,4,0,0.6874778746549753,True,1.6506978076091805e-17,0.00012405872935599232,0.0,0.0,False,6441,3.1372095199433403e-10,True
0,A,gaussian_blur,1,1,"[{'active': [3, 6, 7, 9], 'minimum': 0.03082909663535008, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.04370231150485841, 'action': 'accept'}]",True,False,1.1133401058710524e-17,0.0,0.00016202449819224547,0.002364319253471716,5,0,0.9862298534164725,True,1.1133401058710524e-17,0.00016202449819224547,0.0,0.0,True,20000,1.2226795201297769e-09,True
0,B,clean,2,2,"[{'active': [3, 7, 9], 'minimum': 0.1938204360876232, 'action': 'add', 'coordinate': 6}, {'active': [3, 6, 7, 9], 'minimum': 0.12294445455450559, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.048548664264973326, 'action': 'accept'}]",True,False,1.7943545954635098e-17,0.0,0.0002013599839589783,0.0025883625389112003,5,0,0.9438198221385115,True,1.7943545954635098e-17,0.0002013599839589783,0.0,0.0,False,13800,7.325943879310515e-10,True
0,B,brightness_dark,2,2,"[{'active': [3, 7, 9], 'minimum': 0.1407960113718211, 'action': 'add', 'coordinate': 6}, {'active': [3, 6, 7, 9], 'minimum': 0.1020714964676716, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.064029858197161, 'action': 'accept'}]",True,False,6.028164079019405e-17,0.0,0.0003023761926351362,0.0017546068474456002,5,0,0.38814806728451967,True,6.028164079019405e-17,0.0003023761926351362,0.0,0.0,True,20000,5.8648948114692345e-08,True
0,B,contrast_low,4,4,"[{'active': [6, 7, 9], 'minimum': 0.2625780477324373, 'action': 'add', 'coordinate': 5}, {'active': [5, 6, 7, 9], 'minimum': 0.14525157071612543, 'action': 'add', 'coordinate': 1}, {'active': [1, 5, 6, 7, 9], 'minimum': 0.11689475015723776, 'action': 'add', 'coordinate': 3}, {'active': [1, 3, 5, 6, 7, 9], 'minimum': -0.15013094411232655, 'action': 'remove', 'coordinate': 5}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.04272416483663677, 'action': 'accept'}]",True,False,2.47198095326695e-17,0.0,0.00028081903295163694,0.0020127466141488565,5,0,0.910030732723972,True,2.47198095326695e-17,0.00028081903295163694,0.0,0.0,True,20000,5.897201313449785e-06,True
0,B,gaussian_noise,0,0,"[{'active': [3, 6, 7, 9], 'minimum': 0.03559187250920953, 'action': 'accept'}]",True,False,1.8126505071242027e-17,0.0,0.00011935769718294147,0.003484171530411017,4,0,0.6910217941944041,True,1.8126505071242027e-17,0.00011935769718294147,0.0,0.0,False,6490,3.148207042280582e-10,True
0,B,gaussian_blur,1,1,"[{'active': [3, 6, 7, 9], 'minimum': 0.027499244773891485, 'action': 'add', 'coordinate': 1}, {'active': [1, 3, 6, 7, 9], 'minimum': 0.042456931756715006, 'action': 'accept'}]",True,False,1.802486111757151e-17,0.0,0.0001611131092887103,0.0025915877042240643,5,0,0.9973947475069941,True,1.802486111757151e-17,0.0001611131092887103,0.0,0.0,True,20000,3.123123031023578e-09,True
1,A,clean,4,4,"[{'active': [7, 9], 'minimum': 0.24619540535344087, 'action': 'add', 'coordinate': 0}, {'active': [0, 7, 9], 'minimum': 0.07936778906734754, 'action': 'add', 'coordinate': 6}, {'active': [0, 6, 7, 9], 'minimum': 0.012896389224644726, 'action': 'add', 'coordinate': 1}, {'active': [0, 1, 6, 7, 9], 'minimum': -0.15051521225651543, 'action': 'remove', 'coordinate': 9}, {'active': [0, 1, 6, 7], 'minimum': 0.01394022651777869, 'action': 'accept'}]",True,False,3.176712365382528e-17,0.0,0.0010733563390727897,0.001666243647122275,4,0,0.55590208441844,True,3.176712365382528e-17,0.0010733563390727897,0.0,0.0,False,1985,4.0784042809605126e-11,True
1,A,brightness_dark,5,5,"[{'active': [2, 3, 7, 9], 'minimum': -0.18413901237937708, 'action': 'remove', 'coordinate': 3}, {'active': [2, 7, 9], 'minimum': 0.1258567842160495, 'action': 'add', 'coordinate': 0}, {'active': [0, 2, 7, 9], 'minimum': 0.048329732478970946, 'action': 'add', 'coordinate': 1}, {'active': [0, 1, 2, 7, 9], 'minimum': -0.7955739531863993, 'action': 'remove', 'coordinate': 9}, {'active': [0, 1, 2, 7], 'minimum': 0.045646904690641685, 'action': 'add', 'coordinate': 6}, {'active': [0, 1, 2, 6, 7], 'minimum': 0.005564591093526269, 'action': 'accept'}]",True,False,2.8406096919120216e-17,0.0,0.0005148772706276668,0.0037198197967899466,5,0,0.4262338523745323,True,2.8406096919120216e-17,0.0005148772706276668,0.0,0.0,False,3511,1.8738702256548834e-10,True
1,A,contrast_low,3,3,"[{'active': [2, 7, 9], 'minimum': 0.18574475099551915, 'action': 'add', 'coordinate': 1}, {'active': [1, 2, 7, 9], 'minimum': -0.15434693252443207, 'action': 'remove', 'coordinate': 9}, {'active': [1, 2, 7], 'minimum': 0.15712516827531658, 'action': 'add', 'coordinate': 4}, {'active': [1, 2, 4, 7], 'minimum': 0.02910011721345964, 'action': 'accept'}]",True,False,1.600553457131726e-17,0.0,0.0001546221156267308,0.002587547164856107,4,0,0.3743261450684927,True,1.600553457131726e-17,0.0001546221156267308,0.0,0.0,True,20000,9.491318961676876e-08,True
